CT10,TOTAL_POP,WHITE,BLACK,AMER_IND,ASIAN,PAC_ISLND,OTHER,TWO_MORE,MEANINCOME,LESS_HS,HS_GRAD,SOME_COLGE,BA_HIGHER,AlcoholRel,Arson,Assault,Burglaries,FederalOff,FelonMisc,Fraud,Gambling,GrandTheft,Homicide,MentallyIl,Narcotics,Robberies,SexOffense,Suicide,Vagrancy,Vandalism,VehicBoatL,WeaponLaws,AllCrimes
407102,5530,1837,65,0,703,0,2653,272,72026,89,81,381,0,4,1,20,8,0,0,16,0,16,0,3,17,17,3,0,0,4,19,3,131
407302,3889,2043,79,32,183,0,1444,108,79358,28,73,248,5,4,1,17,3,1,0,3,0,7,0,4,25,15,6,0,0,11,25,3,125
408301,5789,2393,11,0,583,0,2752,50,76080,81,101,227,100,8,1,36,22,0,7,10,0,30,1,4,78,43,3,0,0,21,53,8,325
407301,4657,2154,149,40,399,0,1872,43,76597,126,80,327,103,2,0,17,16,0,4,6,0,10,0,0,19,20,4,0,0,7,12,1,118
531302,7049,4057,6,0,0,0,2833,153,53917,263,144,354,76,16,0,41,12,0,5,7,0,51,1,3,36,66,5,2,0,28,17,10,300
482521,5752,1590,47,12,2970,0,980,153,62840,43,124,186,33,2,1,37,18,1,3,17,0,22,1,7,14,53,2,1,0,16,7,5,207
536102,3442,2537,73,0,16,9,736,71,70752,22,69,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,4
407101,4917,1860,54,27,606,0,2323,47,65798,131,109,158,0,7,0,27,17,1,0,7,0,20,0,8,34,21,9,0,0,23,25,3,202
555212,4739,2194,175,44,487,0,1759,80,48713,112,78,230,14,2,0,31,17,0,4,12,0,26,0,1,18,49,4,1,0,20,13,5,203
555103,4812,1484,437,47,1858,7,757,222,80276,27,98,151,0,6,0,19,14,1,0,10,0,21,0,3,11,57,8,1,0,17,14,3,185
555102,6594,1608,454,73,1990,86,2088,295,55472,141,101,378,67,15,2,55,29,1,13,25,0,34,2,5,41,107,15,1,0,46,56,15,462
555001,5407,2267,445,54,1356,0,924,361,92962,89,69,295,35,11,0,28,18,0,2,14,0,17,0,13,20,84,2,0,0,39,28,8,284
570100,3144,1123,831,0,581,46,490,73,89758,64,63,153,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
570002,3033,1629,256,40,319,89,524,176,93032,30,34,173,44,3,0,7,15,1,1,10,0,7,0,1,4,46,0,0,0,6,18,0,119
530204,4452,3434,0,18,390,0,532,78,64685,127,67,233,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
530004,3960,2560,54,0,499,0,635,212,74564,100,68,280,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
530202,4614,2517,0,54,240,0,1748,55,78789,82,73,347,12,1,0,4,2,0,0,1,0,3,0,0,6,4,1,0,0,3,0,0,25
530203,2987,1963,7,22,216,0,685,94,56074,74,61,186,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433401,3165,1953,0,35,761,19,379,18,53220,131,55,125,0,0,0,6,4,0,0,2,0,8,0,1,6,13,1,0,0,2,8,0,51
433901,5571,3230,74,106,1318,15,761,67,50474,242,79,205,27,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,3
433602,2826,229,0,16,1837,9,609,126,54327,11,34,174,11,1,0,9,19,0,1,6,0,7,0,4,4,28,0,0,0,13,10,1,103
434001,4363,3067,24,37,550,0,656,29,57045,105,65,307,42,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2
433403,4659,2768,0,0,842,54,995,0,40900,136,84,158,19,1,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,6
570001,4714,2604,252,20,901,166,499,272,90274,14,122,294,43,10,0,13,15,1,1,9,0,16,0,2,14,80,6,0,0,19,24,3,213
570902,3724,2380,136,4,307,0,779,118,102794,31,117,152,14,11,0,14,8,0,2,11,0,12,0,2,10,44,1,0,0,15,15,3,148
570702,2392,1346,251,0,454,0,305,36,87922,0,53,99,17,9,1,12,8,1,2,8,0,12,0,2,1,37,1,1,0,13,11,3,122
570701,6750,2257,1016,13,1312,353,1222,577,78823,58,129,249,175,15,2,34,45,0,1,39,0,33,0,4,29,185,5,2,0,38,55,4,491
571101,4512,3334,168,8,412,0,274,316,115452,56,58,132,77,5,1,13,21,0,1,12,0,5,0,3,13,34,0,1,0,15,9,1,134
571300,4339,2647,318,0,573,117,375,309,102400,44,39,155,101,5,1,12,24,0,2,14,0,15,0,5,6,56,7,0,0,11,23,3,184
570003,4356,2334,332,44,717,6,550,373,90272,88,86,104,19,15,0,14,17,0,6,14,0,13,0,2,10,62,1,0,0,17,38,2,211
571102,4049,2292,109,15,658,357,262,356,97160,6,50,313,7,6,2,15,15,0,4,20,0,7,0,1,8,102,5,0,0,11,15,0,211
555211,5622,2393,114,14,425,21,2585,70,48098,92,125,393,0,15,1,30,10,0,4,12,0,26,2,4,31,49,5,0,0,26,41,21,277
570202,6003,1825,828,59,744,38,2324,185,64152,107,82,349,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,3
503802,5131,2767,119,0,1320,10,727,188,84801,18,42,236,93,9,0,10,15,1,3,15,0,12,0,0,10,47,4,0,0,13,21,1,161
