FID,X,Y
4998,-118.076851,34.08159722
4999,-118.3622256,33.98246145
5043,-118.2106307,34.68646518
5054,-118.068937,33.87600945
5056,-118.0744662,33.96700663
5065,-117.8811429,34.01317108
5086,-118.1018968,34.17670938
5089,-118.0779519,33.97602515
5142,-118.1669944,33.89461493
5145,-117.8286223,34.61018705
5196,-117.8985079,34.11564884
5208,-118.63841,34.45037244
5226,-117.9491351,34.04431821
5236,-118.1017749,33.98576085
5238,-118.1629138,34.67862029
5252,-117.9540202,33.97721496
5257,-118.1512924,34.03162312
5258,-118.0115414,33.89221459
5261,-118.2315259,33.96971498
5267,-118.1105239,33.96492379
5319,-118.0427478,33.86144129
5325,-118.1429912,34.69368872
5410,-118.068914,34.14214722
5412,-117.8063378,34.09754297
5422,-118.2350231,33.96613064
5473,-118.2059807,33.91902863
5484,-117.9811788,34.01909745
5487,-118.2516009,33.85625251
5490,-118.5204645,34.4784455
5527,-117.9797777,33.91591536
5536,-118.3397041,33.99037387
5537,-117.8577566,34.01348287
5547,-117.9292753,34.00377287
5572,-118.294564,33.92438213
5575,-118.3736495,33.74401492
5586,-117.991098,33.91182434
5605,-118.0681862,33.87883434
5631,-118.5530352,34.37583361
5678,-118.2731135,33.90758608
5693,-118.0676987,34.05856295
5696,-118.2136849,33.91596906
5697,-117.8549264,34.01925439
5757,-118.2389422,33.90307086
5789,-118.2914719,33.93081779
5795,-118.1244171,34.70017207
5835,-118.1633461,33.8334914
5862,-118.2025769,33.9921392
5877,-118.2694018,33.80746838
5886,-118.1018086,34.5812677
5892,-118.1757698,34.47541258
6031,-118.0488893,34.10190285
6071,-118.0032114,33.92904058
6083,-118.0563548,34.06224805
6119,-118.3566951,34.09024126
6171,-118.0732837,34.14199856
6238,-118.0982317,33.98841113
6251,-117.7953655,34.10380258
6308,-118.2361154,33.89786258
6314,-118.0827233,34.69242254
6337,-118.0972314,34.16921677
6435,-118.3901373,34.09010572
6482,-118.0420334,34.05836282
6500,-118.1561609,34.59084059
6509,-117.8260827,34.06583778
6511,-118.3364472,33.93127916
6553,-118.057955,34.08092478
6616,-117.8808343,34.10655123
6629,-118.1377194,33.86271729
6637,-118.0650192,33.87702524
6694,-118.562198,34.37220594
6695,-117.9599429,34.1414174
6699,-117.9475227,33.99485832
